Name,Technology,Bifacial,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref,Adjust,gamma_r,BIPV,b,Version,Date,cost_components
Units,,,,,m2,m,m,,A,V,A,V,A/K,V/K,C,V,A,A,Ohm,Ohm,%,%/K,,,,,
[0],cec_material,lib_is_bifacial,,,cec_area,,,cec_n_s,cec_i_sc_ref,cec_v_oc_ref,cec_i_mp_ref,cec_v_mp_ref,cec_alpha_sc,cec_beta_oc,cec_t_noct,cec_a_ref,cec_i_l_ref,cec_i_o_ref,cec_r_s,cec_r_sh_ref,cec_adjust,cec_gamma_r,,IAM ashrae,,,
Longi LR5-72HBD-545M_mono,Mono-c-Si,0,545,417.6,2.556048,2.256,1.133,72,13.46,50.85,12.65,43.1,0.0061916,-0.127125,45,2.02,13.465,1.55E-10,0.15,400,10,-0.406,N,0.04,,,"[(31,'watt')]"
Longi LR5-72HBD-570M_mono,Mono-c-Si,0,570,435.8,2.556048,2.256,1.133,72,13.81,51.6,13,43.85,0.0063526,-0.129,45,2.03,13.8135,1.25E-10,0.13,350,10,-0.406,N,0.04,,,"[(31,'watt')]"
550W_M10,Mono-c-Si,0.8,550,,2.556048,2.256,1.133,72,13.595,50.92,12.86,42.81,0.0062,-0.129964,45,2.02,13.6,1.52E-10,0.15,400,10,-0.406,N,0.04,,,"[(31,'watt')]"
560W_M10,Mono-c-Si,0.8,560,,2.556048,2.256,1.133,72,13.715,51.18,12.98,43.15,0.00627,-0.129106,45,2.02,13.72,1.35E-10,0.14,400,10,-0.406,N,0.04,,,"[(31,'watt')]"
570W_M10,Mono-c-Si,0.825,570,435.8,2.556048,2.256,1.133,72,13.81,51.6,13,43.85,0.0063526,-0.129,45,2.03,13.8135,1.25E-10,0.13,350,10,-0.406,N,0.04,,,"[(31,'watt')]"
580W_M10,Mono-c-Si,0.825,580,,2.556048,2.256,1.133,72,13.85,52.09,13.12,44.22,0.0064,-0.126103,45,2.03,13.85,9.86E-11,0.12,400,10,-0.406,N,0.04,,,"[(31,'watt')]"
590W_M10,Mono-c-Si,0.85,590,,2.556048,2.256,1.133,72,13.91,52.53,13.18,44.76,0.0064,-0.124651,45,2.03,13.91,7.95E-11,0.118,450,10,-0.406,N,0.04,,,"[(31,'watt')]"
600W_M10,Mono-c-Si,0.85,600,,2.556048,2.256,1.133,72,13.96,52.98,13.26,45.25,0.0064,-0.123166,45,2.03,13.96,6.40E-11,0.115,450,10,-0.406,N,0.04,,,"[(31,'watt')]"
610W_M10,Mono-c-Si,0.9,610,,2.556048,2.256,1.133,72,14.04,53.42,13.34,45.73,0.0065,-0.121714,45,2.03,14.04,5.17E-11,0.115,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
620W_M10,Mono-c-Si,0.9,620,,2.556048,2.256,1.133,72,14.15,53.62,13.45,46.09,0.0065,-0.121054,45,2.03,14.15,4.75E-11,0.115,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
630W_M10,Mono-c-Si,0.9,630,,2.556048,2.256,1.133,72,14.26,53.95,13.56,46.45,0.0065,-0.119965,45,2.03,14.26,4.07E-11,0.115,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
640W_M10,Mono-c-Si,0.9,640,,2.556048,2.256,1.133,72,14.35,54.29,13.65,46.87,0.0065,-0.118843,45,2.03,14.35,3.45E-11,0.115,500,10,-0.406,N,0.04,,,"[(31,'watt')]"
